Number of hit	Text ID	Concordance line
100	2	karşıyasınız demektir . Uzmanlar , mevsim değişikliği sırasında oluşan enerjinin insan biyoritmi üzerinde olumsuz etkisi bulunduğunu , özellikle büyük şehirlerdeki hava
101	2	dile getiriyorlar . Özellikle hava değişimleri sırasındaki enerjiden olumsuz etkilenen insan metabolizmasındaki su kaybının da , baha yorgunluğu semptomlarının etkisini arttırdığını
102	2	yönde etkileyen önemli bir sorun haline gelebilmektedir . Normalde bir insan terleyerek günde 500 cc civarında sıvı kaybeder . Aşırı terleme
103	2	ile lapa haline getirilir ve ağrıyan bölgeye uygulanır . Su insan yaşamı için oksijenden sonra gelen en önemli ögedir . İnsan
104	2	, yaş ilerledikçe suyun yerini yağ almaya başlar . Suyun insan vücudundaki fonksiyonları ; Besinlerin sindirim , emilim ve hücrelere taşınmasını
105	2	soya lecithininden elde edilen phosphatidylcholine maddesi kullanılmaktadır . Bu madde insan vücudunda bulunan ve yağ metabolizmasında önemli rolü olan bir maddedir
106	2	Yeni yılda sağlıklı olmak için sağlıklı başlangıçlar Sağlıklı olmak , insan mutluluğunun öncelik taşıyan bir öğesidir . Sağlık genellikle kendiliğinden var
107	2	, her koşulda yapabilecek iyi bir şeyin olduğuna inanan , insan hayatını olumlu yönde etkileyen bir düşünce tarzıdır . Bugün artık
108	2	yüzde 10 azaltıp iyi alışkanlıklarınızı yüzde 10 artırırsanız yepyeni bir insan olursunuz ! Egzersizlerin , insanın tüm yaşamı boyunca moral ve
109	2	, temelde yanlış beslenme ve tuvalet alışkanlıklarından gelir . Bir insan belirli oranda bitkisel lif almazsa , bağırsağındaki posa oranı düşecektir
110	2	düşünmenizde yarar var . Kuş gribi 1997’de Hong Kong’da ilk insan vakaları görülene kadar sadece kuş ve domuzları etkilediği düşünülen bir
111	2	olmakla birlikte bu durum henüz kesinleşmemiştir . Hastalık henüz diğer insan gripleri ile birleşmemiştir . Bu olasılığın gerçekleşmesi durumunda insandan insana
112	2	Hissettiğiniz yaş mı ? Cilt yaşınız mı ? Tabi ki insan göründüğü yaştadır diyenler çoğunluk ta ise Cildiniz için size uygun
113	2	çalışın . . Artık günümüzde birinin yanında sigara içmek , insan haklarını ihlale giriyor . Avrupa ülkelerinde , Amerika’da insanların kamu
114	2	ve yaşam kalitemiz sağlığımızı direk olarak etkiliyor . Ve kuşkusuz insan ne kadar sağlıklı olursa , o kadar dinç görünür .
115	2	. Özellikle seks hakkında tiksindirici bir şey yapmak bir kısım insan için hoşa giden bir şeydir . Seks hayatınıza değişiklik katmanın
116	2	bu beş ipucunu hiçbir zaman unutmayın . Öfkelenmemenin yolları Stres insan sağlığını kötü etkileyen en önemli faktörlerden biridir . Öfkenizi kontrol
117	2	refleksleri yavaşlatıp , karar verme sürecini uzatır . Alkolün etkilemediği insan yoktur . Bir bira içtikten sonra bile araç kullanmasına izin
118	2	yönde etki gösteriyor . Bilgisayar , Hatalı Reçeteleri Önlüyor Her insan hata yapabilir . Doktorlar da insan olduğuna göre , onlar
119	2	Hatalı Reçeteleri Önlüyor Her insan hata yapabilir . Doktorlar da insan olduğuna göre , onlar da bu gruba dahildir . Belki
120	2	mesleklerde hatayı telafi etmek daha kolay olabilir ama , konu insan yaşamı olunca bu çok zor . Doktorların hastaya verdikleri hatalar
121	2	dehidrokolesterol ve D3 vitamini gibi adlarla da anılan kolesalsiferol ise insan derisinde güneş ışığı ile temas sonucu meydana gelir ve daha
122	2	ışığından daha fazla yararlanmalı ve egzersize önem vermelidirler . Demirin insan vücudu için önemi nedir ? Kanın en önemli fonksiyonel komponentini
123	2	gıdalar yenildikçe bağırsaktaki bu işlem devam eder . Sağlıklı bir insan için bu tür beslenme uygun olmakla beraber , sindirim sistemi
124	2	egzersiz yapmalısınız ? Hareket etmek , egzersiz yapmak her yaştan insan için öneriliyor . Ancak her türlü egzersizi yapmak doğru mu
125	2	. İnsan hayal ettiği sürece yaşar' sözünü biraz değiştirip , insan umut ettiği sürece yaşar' da denilebilir . İş hayatı ya
126	2	olan sağlığa gelirsek , umutların , iyi duyguların , mutluluğun insan sağlığında çok önemli yeri olduğunu , çok ciddi hastalıkların bu
127	2	ile ilgili çok kapsamlı bir site . - Islam ve insan iliskileri ile butun peygamberlerin tarihini bulabileceginiz sitemizde tasavvuf ve hadisler
128	2	ilan servisi . İlanYaz . Com BEDAVA ILAN VER ! Insan Haklari Bildirgesi - Insan Haklari Bildirgesi inşaat ve Yapı Malzemeleri
129	2	. Com BEDAVA ILAN VER ! Insan Haklari Bildirgesi - Insan Haklari Bildirgesi inşaat ve Yapı Malzemeleri Seramik Cam Ahşap Kiremit
130	2	kapsamında her türlü orjinal makale imece dergi'de . Yaşam , insan , çevre ... aylık yorumlar . Internette Kültür Sanat -
131	2	Portalı - Kültürel buluşma portalı . Etnik odaklı değil , insan odaklı bir bakış açısını ülke ve dünya gerçekleri ışığında ortaya
132	2	egzersiz yapmalısınız ? Hareket etmek , egzersiz yapmak her yaştan insan için öneriliyor . Ancak her türlü egzersizi yapmak doğru mu
133	2	kaybetmiş kişilere bir çare olacağını belirtiyorlar . Bu cihaz , insan saç teli çapının onda biri kalınlığında seramik mikroçiplerden oluşuyor .
134	2	soruyu soralım o zaman . 20 yaşında hakemliğe başlayan bir insan elbette ki futbolla ilgilendiği , futbolu sevdiği için hakem olmaya
135	2	teorik olarak konulmalı bence . Bunun bir sene eğitimini alır insan , bir sene de uygulamaya dönük stajyerlik görevini üstlenir .
136	2	yönetiyorsun . Motamot kuralları uygulamanın futbolu güzelleştirdiğine inanmıyorum . Oradaki insan psikolojisini , nerede , nasıl , kiminle diyalog kurabileceğini ,
137	2	gayet anlayışlı davranıyorsunuz . Nasıl oluyor bu ? Sonuçta kötü insan olmaz ki ; o da futbol oynuyor , ekmek kazanıyor
138	2	yapıyorlar , ama üstünde durulmuyor ve kaybolup gidiyor . Bu insan bir hata yaptı , art niyetli değil diyorlar geçip gidiyor
139	2	sanki okullu bir yanınız varmış gibi duruyorsunuz . Mesela akademilerde insan fiziğiyle ilgili bir sürü yararlı bilgi ediniliyor ve bunun sonucu
140	2	söyleyebilirim . Normal yaşamda iki tane şeyi yan yana getiremeyecek insan sahaya çıktığı zaman harikalar yaratabiliyor . Bu diğer branşlarda da
141	2	yok ki o sırada . Ama işler iyi gitmedi mi insan kendini yalnız hisseder . İşte en önemlisi o zaman destek
142	2	paran olur o zaman her şey zaten iyidir . Ama insan sıkıştı mı , yardıma geleni var mı ? Asıl önemli
143	2	gelenekleri devam ettirmek de bunun bir parçası işte . Bir insan nerede olursa olsun oranın haklıyla yakın olması lazım , birbirlerini
144	2	oyuncular var . Bazı taktiksel eksikler yok değil , ama insan onu düzeltmek için çabalar , öğrenir . Topa vurmayı ,
145	2	dilyorum kişiliği de futbolu da çok iyi kalite li bi insan inşallah FENERBAHÇEmizde görmek isteriz [ Hamit Altıntop hakkında yorum yazın
146	2	o genç yaşta . Ben de kaybettim kendimi . Sonuçta insan bazen duygularına yenik düşebiliyor ! Esasında o an seni çok
147	2	, hatta biraz da yadırgıyor . Çok maç oynadığı zaman insan bazen istediği performansı gösteremiyorsun çünkü . Ama daha yolun başında
148	2	insanım , bulunduğun yerde devamlı kalıp bundan memnun olabilecek bir insan değilim . Benim hayattaki gayem , her zaman her şeyin
149	2	futbol ortamını düşün ; bu işten para kazanan bir sürü insan var , senin her söylediğin haber oluyor . Birde her
150	2	kere böyle . Sen bu ilgiye şaşırdın mı ? Tabii insan biraz şaşkınlık yaşıyor . Gençlerbirliği’ndeyken veya amatör kümede oynarken de
151	2	sabretmeyi bilmek zorundasın . Birisi gelip niye sen oynamıyorsun deyince insan yıpranıyor , haliyle biraz üzülüyorsun . Bu sefer daha çok
152	2	da puanlar almaya geldik dışında da bir şeyler duymak istiyor insan . Sonuçta birbirine benzer şeyler dinlemek de sıkıcı bir şey
153	2	kendinizi eğitmek için ; illa üniversiteye gitmeniz gerekmiyor . Üniversite insan hayatına illa ki çok şey katıyordur , ama kendini eğitebilmek
154	2	var , bunun unutulmaması lazım . Tümer Metin ile konuşurken insan şunu iyi anlıyor ; sizin herhangi bir diplomaya ihtiyacınız yok
155	2	/ 06 / 2005 12:08 ) beşiktaş için herşeyini veren insan en iyi türk solak oyuncu bana göre tümer süper Gerçek
156	2	Bu şekilde kendimi ortaya koydukça insanlar da Kolombiyalıların nasıl bir insan olduğunu anlar diye düşünüyorum . Kaleciliğe gelelim şimdi . Kolombiyalı
157	2	, gülünecek , eğlenecek bir şeyler vardır . Sıcakkanlı bir insan olduğunuz çok belli . Kolombiyalı kalecilerin Türkiye’de bu kadar çok
158	2	olarak görüyor musun ? Şöyle cevap vereyim . Kolombiya’daki ortalama insan uzunluğu o kadar değil . Siz de bundan mustaripsin sanırım
159	2	pek algılayamıyordum . Sizin de dediğiniz gibi , yaşamaya başlayınca insan biraz afallıyor . Ama alışıyorum . Ne soruyorlar genelde sana
160	2	ve Arif ağabeyi gördüm . Televizyondan gördüğünüz gibi değil , insan heyecanlanıyor , oturmasına kalkmasına insan dikkat etmeye başlıyor . Yanlış
161	2	Televizyondan gördüğünüz gibi değil , insan heyecanlanıyor , oturmasına kalkmasına insan dikkat etmeye başlıyor . Yanlış yapmama telaşı var ama sonuçta
162	2	Yavaş yavaş alışıyorum neyse ki . Bir de farklı farklı insan tipleri olduğunu ve hiçbirinin dışarıdan göründüğü gibi olmadığını fark ettim
163	2	oynamanın hiçbir anlamı yoktur . Ama dediğiniz gibi kaçırdığınız gollerde insan etkileniyor yine de . Tabii ki gol atmak istiyorum ama
164	2	her zaman iddialı . Peki sen bu kadar iddialı biri insan mısın ? İddianız olmazsa hayatta olmanızın bir anlamı yok .
165	2	de zevk alıyoruz . Ama mesela çok uzun süreli kamplarda insan problem yaşıyoruz . Sezon başları olsun , devre arası kampları
166	2	oynadığın zaman para kazanıyorsun . O yüzden biraz yapmacık olabiliyor insan . Ama bu da kötü bir şey değil . Birbirinize
167	2	işini yapsın başka bir şey yapmasın . Ama her meslekteki insan gibi futbolcunun da bir dünya görüşü var , hayata bakışı
168	2	o bölgede oynamazsın . Peki seviyor musun ? Alışıyor mu insan ? Tabii ki . ilk zamanlar biraz korkuyordum , çünkü
169	2	zor ve gürültülü bir yerdir ama her şeye rağmen bir insan ülkesini , eşini , çocuğunu nasıl seviyorsa bende Trabzonspor'u öyle
170	2	çıkıyor . Oysa şunu kabullenmesi gerekiyor yöneticilerin . Sizin seçtiğiniz insan bu işi yürütecek , siz de bunun sonuçlarına katlanacaksınız .
171	2	yapıyorsunuz değil mi ? Gerçi boş zamanınız çok ama eğitimli insan az , kültüre zaman ayıran insan nadir bulunuyor ... Ben
172	2	zamanınız çok ama eğitimli insan az , kültüre zaman ayıran insan nadir bulunuyor ... Ben futbolculuk mesleğinin kitap okumaya engel olduğunu
173	2	farklı şeylerde . Ben çok da kolay mutlu olabilen bir insan değilim . Kendime göre bazı sıkıntılarım da var . Ama
174	2	takip ediyor ve çok büyük destekleri var . Bunları görünce insan neleri başardığının farkına varıyor ve gurur duyuyor . Ama asıl
175	2	bir andı . Sen Türkiye'de üç büyüklerde futbol oynamış bir insan olarak biliyorsun , son hafta şampiyonluk alkışlar altında zor bırakılır
176	2	. Sen Song hakkında ne düşünüyorsun ? Çok iyi bir insan . Çok eğlenceli ve komik . Sahada ise iyi anlaşıyoruz
177	2	mevkiye geldikten sonra bunu ben de yapabilirim veya halktan bir insan da aynı yorumu yapabilir . Asıl göz önünde bulunmayan bir
178	2	arkadaşımın bana sitem etmeyeceğini zannediyorum . Arkadaşlarım benim nasıl bir insan olduğumu ve hedeflerimi bilir . Bugün şans bana güldü ,
179	2	futbolcuyu ateşliyor bazen de baskı altına alabiliyor . Nasıl hissediyor insan ? İstanbul’daki statlarda rakipleri zora sokan şey ne ? Sadece
180	2	kadarını ısıtın , artan yemekleri hemen buzdolabına kaldırın . Bir insan hangi yollardan geçiyor da futbolcu oluyor ? Sen Karataşlısın ,
181	2	- 2 senede dönen arkadaşlarımızla dolu ortalık . Zorluklara karşı insan ancak kendi gücü ve iradesi ile karşı durabilir ve ancak
182	2	örnek olacak şeyler söylemeli . Her gün , her gün insan basına çıkar mı yahu ? İşte Anadolu'dan gelen gençler birden
183	2	gitti , diye yazıp durdular . Ne oldu 21 yaşındaki insan ? İki maç kötü oynayınca , psikolojiyi kaldıramadım . Yalnızdım
184	2	, dörtlü bir orta saha lazımdı ; sola en uygun insan olarak ben düşünüldüm . Derken Hagi geldi , dediler sen
185	2	kırıldın en çok ? Düşünebiliyor musunuz bir ay önce bir insan omuzlarda , Türkiye için çok şey yapmış biri olarak övülüyor
186	2	/ 2005 18:25 ) Arkadas1n görüslerine kat1l1yorum hasan dobra bir insan çok iyi bir futbolcu severim kendisini insaalah milli tak1mda çok
187	2	yaptığı sırada tanınmış . Dünyanın son yamyamları olan bu yerliler insan eti yediklerinde prionu almış ve hastalanmışlar . Bilim adamlarının yoğun
188	2	yediklerinde prionu almış ve hastalanmışlar . Bilim adamlarının yoğun çabalarıyla insan eti yemekten vazgeçirilerek salgının önüne geçilmiş . Bu gün için
